oshpd_id2,oshpd_id,lat,long,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,disp_Acute_Care,disp_Against_Medical_Advice,disp_Childrens_or_Cancer,disp_Died,disp_Home_Health_Service,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Routine,disp_SN_IC_Care,Zip_Blank_Invalid,Zip_CA_Resident,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Sex_Female,Sex_Male,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,Payer_All_Other_Payers,Payer_MediCal,Payer_Medicare,Payer_Other_Government,Payer_Other_Unknown,Payer_Private_Health_Insurance,Payer_Self_Pay_or_Uninsured,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,All_Other_Languages,English,PLS_Other_Unknown,Spanish,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Other_Unknown,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,disp_Hospice_Care,disp_Residential_Care,Zip_Foreign,dx_Certain_Perinatal_Conditions,disp_CAH,disp_Rehab,disp_Other,disp_Disaster_Care_Site,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Routine,a_disp_SN_IC_Care,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Zip_Unknown,a_Sex_Female,a_Sex_Male,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Other_Unknown,a_Payer_MediCal,a_Payer_Medicare,a_Payer_Other_Government,a_Payer_Other_Unknown,a_Payer_Private_Health_Insurance,a_Payer_Self-Pay_or_Uninsured,a_racegrp_aman,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_nhpi,a_racegrp_other,a_racegrp_white,a_Eth_Other_Unknown,a_eth_Hispanic,a_eth_NonHispanic,a_All_Other_Languages,a_English,a_PLS_Other_Unknown,a_Spanish,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Factors_Influencing_Health,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Other_Unknown,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_disp_Invalid_Blank,a_disp_Residential_Care,a_Zip_Blank_Invalid,a_Zip_Foreign,a_Age_0_09,a_Age_10_19,a_Payer_All_Other_Payers,a_racegrp_unknown,a_dx_Congenital,a_dx_Pregnancy_Childbirth,a_disp_Childrens_or_Cancer,a_dx_Certain_Perinatal_Condition,a_sex_Oth_Unknown,a_disp_CAH,a_disp_Other,a_disp_Disaster_Care_Site,EMER_MED_TREAT_STATIONS,,,,
106190631,190631,33.968829,-118.048719,PIH Health Whittier Hospital,General Acute Care Hospital,Los Angeles,12401 WASHINGTON BLVD.,WHITTIER,90602,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,523,District 30,District 56,La Habra Heights/Whittier,Urban,1225,1021,430,63,33,,1,366,535,57241,151,27,59139,1159,293,483,34738,26358,16,6380,5902,9043,9148,7362,7053,6423,5193,4593,15,698,26662,12627,380,369,17136,3240,861,1744,1251,501,191,19239,1760,35565,48460,11093,1559,290,51202,26,9594,4270,13,3911,192,1299,701,733,1616,4171,1818,12289,1659,4545,150,2745,12,1735,4868,2347,11947,12,24,11,91,,,10,,469,291,417,4745,353,8,,18,196,7085,2051,15135,438,73,12,8340,7323,513,1014,1287,2021,2915,3648,4157,,2854,9865,52,1,2730,126,194,802,296,91,68,4810,9129,258,10418,4987,220,12202,10,3231,3287,2234,214,40,879,43,15,1100,2772,1417,171,398,554,685,2,868,282,494,,24,3,2,47,61,35,273,5,158,3,45,,,1,2,61,,,,
106190243,190243,33.935017,-118.130489,PIH Health Downey Hospital,General Acute Care Hospital,Los Angeles,11500 BROOKSHIRE AVENUE,DOWNEY,90241,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,199,District 30,District 64,Downey Northeast,Urban,1320,716,277,20,50,,38,176,148,48759,237,15,50528,685,231,294,30016,21732,10,5258,5702,8421,8174,6508,6111,5360,3664,2546,14,297,30597,8198,207,227,9719,2513,442,981,2008,587,192,22759,2336,22453,43255,6731,1772,206,35911,28,15613,3550,7,3334,199,1408,676,758,977,3566,1569,9400,1126,4304,169,2673,12,1469,4030,2103,10395,6,8,5,33,,,3,,288,240,192,2034,128,10,1,8,17,4492,954,8162,209,18,10,4384,4015,361,656,823,1262,1670,1737,1844,,2547,4635,18,9,1091,100,78,274,396,51,29,3498,3750,250,6165,1985,65,4775,6,3554,1601,1386,155,32,576,19,3,654,1669,515,78,153,202,389,1,502,143,267,,34,1,,,47,,324,3,52,2,,1,,,,32,,,,
106190392,190392,34.054334,-118.265557,PIH Health Good Samaritan Hospital,General Acute Care Hospital,Los Angeles,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,408,District 26,District 54,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,1107,2273,17,80,94,,180,280,389,31806,260,28,31961,3205,495,781,17941,18593,23,792,1672,6633,7430,5722,5018,4639,2807,1784,60,232,21256,6483,82,6,4131,4367,159,3102,6748,350,45,17318,1213,7622,20375,15052,1130,1409,22850,78,12220,2566,2,2963,170,579,649,467,794,2652,1068,8052,2151,2148,155,1960,6,892,2236,1970,5057,7,18,87,20,,,46,,214,475,366,1041,72,105,7,16,258,4114,1688,7475,804,41,38,3825,4543,399,647,757,1198,1850,1622,1814,15,3082,4389,17,9,700,172,33,1794,1506,32,17,3213,1490,269,3681,4419,1208,4440,32,2689,1649,1130,132,27,564,30,8,582,1442,728,149,135,236,422,,634,122,231,,8,4,7,37,30,,284,4,108,1,36,1,,1,3,20,,,,
